"zipcode","city","list","list_number","firstname","lastname","gender","position","party","cumuls_2017","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","cumuleo_url"
1210,"Saint-Josse-Ten-Noode","MR Open Vld",12,"Christian","Doat",,15,,,,,,,,,,,,,,,,,
1180,"Uccle","PS",5,"Dirk","Dobbelaere",,5,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PTB*PVDA",9,"Michel","Dobbelaere",,11,,,,,,,,,,,,,,,,,
7060,"Soignies","MR",,"Nathalie","DOBBELS","F",2,,,,,,,,,,,,,,,,,
4830,"Limbourg","LDM",,"Frédéric","DOBBELSTEIN","M",11,,,,,,,,,,,,,,,,,
4600,"Visé","MR",,"Steffi","DOBBELSTEIN","F",3,,,,,,,,,,,,,,,,,
5377,"Somme-Leuze","UC",,"Robert","DOCHAIN","M",8,"x","3","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6424-robert-dochain.php"
7500,"Tournai","ECOLO",,"Benoit","DOCHY","M",36,,,,,,,,,,,,,,,,,
7500,"Tournai","Ensemble !",,"Claudye","DOCHY","F",28,,,,,,,,,,,,,,,,,
7500,"Tournai","Ensemble !",,"Luc","DOCHY","M",31,,,,,,,,,,,,,,,,,
6950,"Nassogne","I.C.N.",,"José","DOCK","M",5,,,,,,,,,,,,,,,,,
4500,"Huy","MR",,"Magali","DOCK","F",1,,,,,,,,,,,,,,,,,
7100,"La Louvière","ECOLO",,"Alain","DOCLOT","M",27,,,,,,,,,,,,,,,,,
6530,"Thuin","DéFI",,"Asmet","DOCQ","M",4,,,,,,,,,,,,,,,,,
4250,"Geer","GE",,"Alexandre","DOCQUIER","M",4,,,,,,,,,,,,,,,,,
4000,"Liège","PTB",,"Bernard","DOCQUIER","M",24,,,,,,,,,,,,,,,,,
4280,"Hannut","PS",,"Eric","DOCQUIER","M",14,,,,,,,,,,,,,,,,,
7160,"Chapelle-lez-Herlaimont","AC",,"Lydia","DOCQUIER","F",20,,,,,,,,,,,,,,,,,
4530,"Villers-le-Bouillet","GénérationS4530",,"Nicolas","DOCQUIER","M",4,,,,,,,,,,,,,,,,,
6940,"Durbuy","BOURGMESTRE",,"Pablo","DOCQUIER","M",3,,,,,,,,,,,,,,,,,
1325,"Chaumont-Gistoux","ARC",,"Pierre-Yves","DOCQUIER","M",9,,,,,,,,,,,,,,,,,
4100,"Seraing","CDH",,"Véronique","DOCQUIER","F",5,,,,,,,,,,,,,,,,,
6687,"Bertogne","GC",,"Sylviane","DOCQUIER-ARNOULD","F",6,,,,,,,,,,,,,,,,,
4820,"Dison","Vivre Dison",,"Josiane","DODÉMONT","F",8,,,,,,,,,,,,,,,,,
4570,"Marchin","M-R",,"Danielle","DODRÉMONT - WAUMANS","F",16,,,,,,,,,,,,,,,,,
4920,"Aywaille","Ensemble",,"Philippe","DODRIMONT","M",23,"MR","12","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6417-philippe-dodrimont.php"
7870,"Lens","PS",,"Léon-Henri","DOEM","M",3,"PS","4","oui","oui","oui",,"oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/6416-leon-henri-doem.php"
7911,"Frasnes-lez-Anvaing","ECOLO",,"Alice","DOERAENE","F",9,,,,,,,,,,,,,,,,,
7911,"Frasnes-lez-Anvaing","ECOLO",,"Jean-Paul","DOERAENE","M",20,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","ECOLO-GROEN",2,"Thomas","Doesselaere",,20,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PTB*PVDA",9,"Mücevher","Dogan",,22,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","LISTE BOURGMESTRE",4,"Emel","Dogancan Kotaoglu",,12,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","CDH + Indépendant",1,"Fath","Doghani",,19,,,,,,,,,,,,,,,,,
,"Mont-de-l'Enclus","ACE",,"Fabrice","DOGIMONT","M",9,,,,,,,,,,,,,,,,,
4180,"Hamoir","ICOM",,"Pauline","DOGNÉ","F",12,,,,,,,,,,,,,,,,,
6000,"Charleroi","PS",,"Mahmut","DOGRU","M",7,"PS","3","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/10528-mahmut-dogru.php"
7170,"Manage","PS",,"Nurdan","DOGRU","F",20,,,,,,,,,,,,,,,,,
4287,"Lincent","LRPS",,"David","DOGUET","M",5,,,,,,,,,,,,,,,,,
1140,"Evere","NATION",14,"Francine","Doguet",,28,,,,,,,,,,,,,,,,,
4920,"Aywaille","ECOLO",,"Alain","DOHET","M",6,,,,,,,,,,,,,,,,,
1081,"Koekelberg","ECOLO-GROEN",2,"Andrée","Dohmen",,11,,,,,,,,,,,,,,,,,
6637,"Fauvillers","LE RENOUVEAU",,"Laurence","DOHN","F",4,,,,,,,,,,,,,,,,,
1180,"Uccle","UCCLE EN AVANT",13,"Michèle","Döhnert-Louis",,12,,,,,,,,,,,,,,,,,
4800,"Verviers","CDH",,"Carine","DOHOGNE","F",26,,,,,,,,,,,,,,,,,
4570,"Marchin","ECOLO",,"Benjamin","DOLCE","M",6,,,,,,,,,,,,,,,,,
6120,"Ham-sur-Heure-Nalinnes","MR",,"Adrien","DOLIMONT","M",3,"MR","6","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/6410-adrien-dolimont.php"
1030,"Schaerbeek","PS-sp.a",5,"Ewa","Dolinska",,14,,,,,,,,,,,,,,,,,
1435,"Mont-Saint-Guibert","MSG Cohésion",,"Jonathan","DOLPHENS","M",17,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","PTB",,"Céline","DOLSEK","F",1,,,,,,,,,,,,,,,,,
7370,"Dour","VOTRE DOUR",,"Yves","DOMAIN","M",11,,,,,,,,,,,,,,,,,
7380,"Quiévrain","UPQ",,"Eric","DOMANIECKI","M",17,,,,,,,,,,,,,,,,,
4870,"Trooz","ECOVA",,"André","DOMBARD","M",19,,,,,,,,,,,,,,,,,
6660,"Houffalize","L'ESSENTIEL",,"Pascale","DOMBIER-DUBUISSON","F",16,,,,,,,,,,,,,,,,,
4000,"Liège","VEGA",,"Claudine","DOMBRET","F",10,,,,,,,,,,,,,,,,,
1367,"Ramillies","REM",,"Michaël","DOMBRET","M",17,,,,,,,,,,,,,,,,,
1367,"Ramillies","REM",,"Séverine","DOMBRET-GUILLEMART","F",12,,,,,,,,,,,,,,,,,
7000,"Mons","AGORA - CDH",,"Caroline","DOMECKI","F",41,,,,,,,,,,,,,,,,,
7700,"Mouscron","MR",,"Alexandre","DOMECYN","M",25,,,,,,,,,,,,,,,,,
6460,"Chimay","CLE",,"Stéphane","DOMER","M",19,,,,,,,,,,,,,,,,,
6791,"Aubange","IG",,"Eugenia","DOMINGUES das NEVES MONTE","F",19,,,,,,,,,,,,,,,,,
4160,"Anthisnes","MR-CDH-IC",,"Martin","DOMINGUES-GONCALVES","M",6,,,,,,,,,,,,,,,,,
7340,"Colfontaine","PS",,"Maria-Mercèdes","DOMINGUEZ","F",26,"cdH","6","oui","oui","oui","oui","oui","oui","oui","oui",,,"oui","oui","oui","oui","https://www.cumuleo.be/mandataire/10782-maria-mercedes-dominguez.php"
6700,"Arlon","Pour vouS",,"Marie-Rose","DOMINGUEZ ALVAREZ","F",26,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"François","Dominicy",,21,,,,,,,,,,,,,,,,,
6600,"Bastogne","ALTERNATIVE(S)",,"Benoit","DOMINIQUE","M",1,,,,,,,,,,,,,,,,,
6637,"Fauvillers","Fauvillers Demain",,"Cécile","DOMINIQUE","F",10,,,,,,,,,,,,,,,,,
4170,"Comblain-au-Pont","IC",,"Micheline","DOMINIQUE","F",14,,,,,,,,,,,,,,,,,
7600,"Péruwelz","PS",,"Pascal","DOMITER","M",9,,,,,,,,,,,,,,,,,
5140,"Sombreffe","IC - MR",,"Catherine","DOMKEN-PEPINSTER","F",10,,,,,,,,,,,,,,,,,
6280,"Gerpinnes","CDH",,"Michael","DONATANGELO","M",7,,,,,,,,,,,,,,,,,
4610,"Beyne-Heusay","CDH-ECOLO+",,"Olivier","DONATI","M",18,,,,,,,,,,,,,,,,,
7700,"Mouscron","ECOLO",,"Joël","DONCHE","M",33,,,,,,,,,,,,,,,,,
5600,"Philippeville","PS",,"Vincent","DONCKERS","M",7,,,,,,,,,,,,,,,,,
7870,"Lens","ECOLO",,"Jean-François","DONCKERWOLKE","M",7,,,,,,,,,,,,,,,,,
4800,"Verviers","MR",,"Mathilde","DONCKIER","F",18,,,,,,,,,,,,,,,,,
4845,"Jalhay","MR-IC-EJS",,"Françoise","DONCKIER-MÉANT","F",16,,,,,,,,,,,,,,,,,
5150,"Floreffe","DéFI",,"Jean-François","DONDELET","M",17,,,,,,,,,,,,,,,,,
6791,"Aubange","CDH.com",,"Jean-Paul","DONDELINGER","M",1,"cdH","10","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6401-jean-paul-dondelinger.php"
6200,"Châtelet","RC",,"Jean-Marc","DONDEZ","M",30,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","PS-sp.a",5,"Thomas","Doneux",,13,,,,,,,,,,,,,,,,,
5640,"Mettet","ROPS",,"Isabelle","DONEUX-PAINDAVEINE","F",1,,,,,,,,,,,,,,,,,
7100,"La Louvière","MR-IC",,"Bernard","DONFUT","M",9,,,,,,,,,,,,,,,,,
7080,"Frameries","PS",,"Julien","DONFUT","M",27,"PS","9","oui","oui","oui","oui","oui",,,,,,,,,,"https://www.cumuleo.be/mandataire/14207-julien-donfut.php"
7300,"Boussu","PP",,"Katty","DONFUT","F",6,,,,,,,,,,,,,,,,,
7320,"Bernissart","6tem-ic",,"Kevin","DONFUT","M",17,,,,,,,,,,,,,,,,,
7000,"Mons","ECOLO",,"Michaël","DONFUT","M",10,,,,,,,,,,,,,,,,,
7000,"Mons","PP",,"Patricia","DONFUT","F",2,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","DéFI",4,"Libala","Dongosi",,27,,,,,,,,,,,,,,,,,
4280,"Hannut","ECOLO",,"Carmen","DONIE","F",11,,,,,,,,,,,,,,,,,
4260,"Braives","B.A.s.e.",,"Christine","DONJEAN","F",6,,,,,,,,,,,,,,,,,
4570,"Marchin","PS-IC",,"Gaëtane","DONJEAN","F",4,"PS","4","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6399-gaetane-donjean.php"
1030,"Schaerbeek","PS-sp.a",5,"Ibrahim","Dönmez",,9,,,,,,,,,,,,,,,,,
4430,"Ans","CDH-RCA",,"Giovanna","DONNAIANNA","F",12,,,,,,,,,,,,,,,,,
6850,"Paliseul","ECOLO",,"Françoise","DONNAY","F",9,,,,,,,,,,,,,,,,,
4607,"Dalhem","Maïeur",,"Jean-Pierre","DONNAY","M",9,,,,,,,,,,,,,,,,,
4040,"Herstal","MR",,"Luce","DONNAY","F",12,,,,,,,,,,,,,,,,,
7180,"Seneffe","LB",,"Muriel","DONNAY-VANDERELST","F",7,,,,,,,,,,,,,,,,,
4557,"Tinlot","TP",,"Cécile","DONNÉ-VALGAERTS","F",3,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","MR",12,"Marie-Noëlle","Donneaux",,16,,,,,,,,,,,,,,,,,
1050,"Ixelles","ECOLO - GROEN",2,"Cathérine","Donnet",,14,,,,,,,,,,,,,,,,,
5640,"Mettet","ECOLO",,"Nathalie","DONNET","F",2,,,,,,,,,,,,,,,,,
7640,"Antoing","GO",,"Laurie-Anne","DONNEZ","F",4,,,,,,,,,,,,,,,,,
7640,"Antoing","PS",,"Nadèje","DONNEZ","F",12,,,,,,,,,,,,,,,,,
,"Berchem","DéFI",4,"Xavier","Donnez",,14,,,,,,,,,,,,,,,,,
4000,"Liège","VERT ARDENT",,"William","DONNI","M",16,,,,,,,,,,,,,,,,,
5537,"Anhée","Anhée vers +",,"Annicka","DONNY","F",8,,,,,,,,,,,,,,,,,
1470,"Genappe","MR+cdH",,"Sandra","DONNY","F",12,,,,,,,,,,,,,,,,,
6110,"Montigny-le-Tilleul","MR",,"René","DONOT","M",6,,,,,,,,,,,,,,,,,
6700,"Arlon","Pour vouS",,"Rita","DONS","F",8,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","PS",,"Manuel","DONY","M",1,"PS","6","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/13000-manuel-dony.php"
6671,"Gouvy","ROC 2018",,"Valérie","DONY","F",4,,,,,,,,,,,,,,,,,
5030,"Gembloux","ECOLO",,"Laurence","DOOMS","F",2,"Ecolo","6","oui","oui","oui","oui","oui","oui","oui","oui",,,,,,,"https://www.cumuleo.be/mandataire/12203-laurence-dooms.php"
,"Berchem","Open MR",12,"Marceline","Dooms",,18,,,,,,,,,,,,,,,,,
1090,"Jette","ECOLO-GROEN",2,"Stefan","Dooreman",,5,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"Thierry","Doornaert",,31,,,,,,,,,,,,,,,,,
4470,"Saint-Georges-sur-Meuse","ECOLO",,"Patrick","DOPPAGNE","M",5,,,,,,,,,,,,,,,,,
4630,"Soumagne","ICI Soumagne",,"Carole","DOR","F",16,,,,,,,,,,,,,,,,,
4000,"Liège","MR pour Liège",,"Corinne","DOR-VRIJENS","F",13,,,,,,,,,,,,,,,,,
4053,"Chaudfontaine","UP!",,"Isabelle","DORBOLO","F",18,,,,,,,,,,,,,,,,,
7911,"Frasnes-lez-Anvaing","MR",,"Sébastien","DORCHY","M",21,"MR","8","oui",,,,,,,,,,,,,,"https://www.cumuleo.be/mandataire/16877-sebastien-dorchy.php"
4340,"Awans","ECHOS-CIT'",,"Andrea","DORIA","M",18,,,,,,,,,,,,,,,,,
1160,"Auderghem","MR-OpenVLD",12,"Audrey","Dorigo",,26,,,,,,,,,,,,,,,,,
4900,"Spa","Osons Spa",,"Marianne","DORIGO","F",16,,,,,,,,,,,,,,,,,
,"Braine-l'Alleud","IC",,"Véronique","DORLEMAN","F",8,,,,,,,,,,,,,,,,,
6000,"Charleroi","NWA-NATION",,"Dominique","DORMAELS","F",10,,,,,,,,,,,,,,,,,
6000,"Charleroi","LA DROITE",,"Jenny","DORMAELS","F",40,,,,,,,,,,,,,,,,,
4480,"Engis","EngiSolidair",,"Lucas","DORMAL","M",15,,,,,,,,,,,,,,,,,
5170,"Profondeville","MICS",,"Nathalie","DORMAL","F",16,,,,,,,,,,,,,,,,,
,"Eghezée","ECOLO",,"Robert","DORMAL","M",3,,,,,,,,,,,,,,,,,
7880,"Flobecq","L B L C P",,"Simon","DORMAL","M",1,,,,,,,,,,,,,,,,,
1440,"Braine-le-Château","ECOLO",,"Anne","DORSELAER","F",1,"Ecolo","6","oui","oui","oui","oui","oui",,,,,,"oui",,,,"https://www.cumuleo.be/mandataire/6390-anne-dorselaer.php"
4880,"Aubel","AUBEL DEMAIN",,"Benoît","DORTHU","M",1,,,,,,,,,,,,,,,,,
5380,"Fernelmont","LDB+",,"Andy","DORVAL","M",11,,,,,,,,,,,,,,,,,
6590,"Momignies","AC",,"Marie","DORVILLERS","F",10,,,,,,,,,,,,,,,,,
6890,"Libin","HORIZON 2024",,"Paulo","DOS SANTOS","M",12,,,,,,,,,,,,,,,,,
5555,"Bièvre","EPV",,"Sandra","dos SANTOS GOMES","F",12,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","Liste du Bourgmestre",1,"Daniele","Dosi",,29,,,,,,,,,,,,,,,,,
4500,"Huy","PS",,"Eric","DOSOGNE","M",3,"PS","9","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6386-eric-dosogne.php"
5170,"Profondeville","PS",,"Roland","DOSOGNE","M",5,,,,,,,,,,,,,,,,,
4960,"Malmedy","ECm",,"René","DOSQUET","M",3,,,,,,,,,,,,,,,,,
4000,"Liège","VEGA",,"Didier","DOSSIN","M",23,,,,,,,,,,,,,,,,,
,"Court-Saint-Etienne","ECOLO",,"Sylvie","DOSSIN","F",12,,,,,,,,,,,,,,,,,
4280,"Hannut","ECOLO",,"François","DOSSOGNE","M",8,,,,,,,,,,,,,,,,,
5560,"Houyet","ECOLO",,"Rebecca","DOTET","F",14,,,,,,,,,,,,,,,,,
4610,"Beyne-Heusay","Ensemble",,"Martial","DOUA","M",5,,,,,,,,,,,,,,,,,
7100,"La Louvière","U.C.B",,"Lisette","DOUAŸ","F",4,,,,,,,,,,,,,,,,,
7340,"Colfontaine","C.PLUS",,"Ouissam","DOUBRI","M",15,,,,,,,,,,,,,,,,,
6870,"Saint-Hubert","PluS",,"Cyriane","DOUCET","F",5,,,,,,,,,,,,,,,,,
6600,"Bastogne","LDB - CDH",,"Philippe","DOUCET","M",9,,,,,,,,,,,,,,,,,
1180,"Uccle","DéFI",4,"Assanatou","Doucouré",,24,,,,,,,,,,,,,,,,,
6280,"Gerpinnes","HORIZONS",,"Laurent","DOUCY","M",1,"MR","5","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/12764-laurent-doucy.php"
4650,"Herve","PS",,"Nicole","DOUDELET","F",16,,,,,,,,,,,,,,,,,
4280,"Hannut","liste MayeuR",,"Manu","DOUETTE","M",1,,,,,,,,,,,,,,,,,
6940,"Durbuy","BOURGMESTRE",,"Valérie","DOUHARD","F",16,,,,,,,,,,,,,,,,,
7730,"Estaimpuis","PS-LB",,"Frédéric","DOUILLET","M",3,,,,,,,,,,,,,,,,,
7140,"Morlanwelz","MR",,"Bertrand","DOUILLEZ","M",15,,,,,,,,,,,,,,,,,
1050,"Ixelles","ECOLO - GROEN",2,"Christos","Doulkeridis",,1,,,,,,,,,,,,,,,,,
1435,"Mont-Saint-Guibert","MSG ",,"Michèle","DOUMEN","F",16,,,,,,,,,,,,,,,,,
6220,"Fleurus","AGIR",,"Alain","DOUMONT","M",25,,,,,,,,,,,,,,,,,
7800,"Ath","MR",,"Bernard","DOUMONT","M",11,,,,,,,,,,,,,,,,,
5190,"Jemeppe-sur-Sambre","DéFI",,"Christiane","DOUMONT","F",14,,,,,,,,,,,,,,,,,
5190,"Jemeppe-sur-Sambre","JEM",,"Eloïse","DOUMONT","F",23,,,,,,,,,,,,,,,,,
5070,"Fosses-la-Ville","ECOLO",,"Françoise","DOUMONT","F",3,,,,,,,,,,,,,,,,,
5300,"Andenne","AD&N",,"Hugues","DOUMONT","M",29,"Ecolo","7","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/10452-hugues-doumont.php"
5060,"Sambreville","CDH PLUS",,"Jeannine","DOUMONT-CHARLES","F",27,,,,,,,,,,,,,,,,,
5660,"Couvin","#PEP'S",,"Raymond","DOUNIAUX","M",23,"PS","4","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6382-raymond-douniaux.php"
6700,"Arlon","MR",,"Michel","DOUPAGNE","M",20,,,,,,,,,,,,,,,,,
6780,"Messancy","ICM",,"Philippe","DOURET","M",3,,,,,,,,,,,,,,,,,
6850,"Paliseul","Pour Vous",,"Isabelle","DOURET-MARCHAL","F",4,,,,,,,,,,,,,,,,,
1340,"Ottignies-Louvain-la-Neuve","ECOLO",,"Sofiane","DOURO","M",28,,,,,,,,,,,,,,,,,
1180,"Uccle","PS",5,"Gilles","Doutrelepont",,41,,,,,,,,,,,,,,,,,
4430,"Ans","ECOLO",,"Pierre","DOUTRELEPONT","M",11,,,,,,,,,,,,,,,,,
4140,"Sprimont","e-PS",,"Sébastien","DOUTRELOUP","M",5,,,,,,,,,,,,,,,,,
1190,"Forest","MR",12,"Alain","DOUXCHAMPS",,35,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PLAN B",13,"Bruno","DOVIFAT",,29,,,,,,,,,,,,,,,,,
5350,"Ohey","ECOLO",,"André","DOYEN","M",10,,,,,,,,,,,,,,,,,
6870,"Saint-Hubert","PluS",,"Benjamin","DOYEN","M",10,,,,,,,,,,,,,,,,,
4287,"Lincent","LRPS",,"Christophe","DOYEN","M",9,,,,,,,,,,,,,,,,,
4280,"Hannut","PS",,"Dominique","DOYEN","F",19,,,,,,,,,,,,,,,,,
4340,"Awans","Vers Demain",,"Fabian","DOYEN","M",3,,,,,,,,,,,,,,,,,
6000,"Charleroi","NWA-NATION",,"Germain","DOYEN","M",11,,,,,,,,,,,,,,,,,
4900,"Spa","Alternative-plus",,"Ginette","DOYEN","F",18,,,,,,,,,,,,,,,,,
1090,"Jette","LBJETTE",1,"Hervé","Doyen",,1,"cdH","5","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6379-herve-doyen.php"
7900,"Leuze-en-Hainaut","MR",,"Julie","DOYEN","F",6,,,,,,,,,,,,,,,,,
7870,"Lens","Citoyen Lens",,"Mathieu","DOYEN","M",11,,,,,,,,,,,,,,,,,
7333,"Saint-Ghislain","Osons !",,"Michel","DOYEN","M",3,"cdH","3","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,,"https://www.cumuleo.be/mandataire/6378-michel-doyen.php"
7870,"Lens","MDC",,"Pol","DOYEN","M",10,,,,,,,,,,,,,,,,,
1090,"Jette","MR",12,"Shirley","Doyen",,20,,,,,,,,,,,,,,,,,
7387,"Honnelles","LISTE MAÏEUR",,"Yvon","DOYEN","M",13,,,,,,,,,,,,,,,,,
5620,"Florennes","Ad 11",,"Claudine","DOZOT","F",18,,,,,,,,,,,,,,,,,
5500,"Dinant","DINANT",,"Lucy","DOZOT","F",14,,,,,,,,,,,,,,,,,
1081,"Koekelberg","PS",5,"Nelly","Drabbe",,18,,,,,,,,,,,,,,,,,
,"Berchem","ECOLO-GROEN",2,"Laurence","Drabs",,21,,,,,,,,,,,,,,,,,
4430,"Ans","PVE",,"Rosario","DRAGA","M",3,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PS",5,"Carmen","DRAGHICI",,46,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"George","Dragomir",,26,,,,,,,,,,,,,,,,,
1180,"Uccle","PS",5,"Silvia","Dragoni",,26,,,,,,,,,,,,,,,,,
7000,"Mons","Mons en Mieux!",,"Thérèse","DRAGUET","F",14,,,,,,,,,,,,,,,,,
6730,"Tintigny","PASSION COMMUNE",,"Jean-François","DRAIME","M",7,,,,,,,,,,,,,,,,,
1170,"Watermael-Boitsfort","PS-SP.A Cause Commune",5,"Théo","Drakidis",,11,,,,,,,,,,,,,,,,,
7000,"Mons","PTB",,"Remy","DRALTA","M",11,,,,,,,,,,,,,,,,,
7972,"Beloeil","PS",,"Carine","DRAMAIS","F",4,,,,,,,,,,,,,,,,,
7300,"Boussu","PS",,"Mary","DRAMAIX","F",14,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2,"Chantal","Dransart",,36,,,,,,,,,,,,,,,,,
4470,"Saint-Georges-sur-Meuse","ECOLO",,"Samya","DRAOUI","F",16,,,,,,,,,,,,,,,,,
7640,"Antoing","UCA",,"Geoffrey","DRAPIER","M",9,,,,,,,,,,,,,,,,,
7950,"Chièvres","ECOLO",,"Pierre","DRAPIER","M",9,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","ULP",,"Stéphane","DRAPIER","M",21,,,,,,,,,,,,,,,,,
1070,"Anderlecht","LA DROITE",13,"Simonne","Drappier",,2,,,,,,,,,,,,,,,,,
1190,"Forest","LISTE DU BOURGMESTRE",5,"Martine","DRAPS",,20,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","OPEN MR",12,"Willem","DRAPS",,35,"MR","10","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6375-willem-draps.php"
7080,"Frameries","PS",,"Didier","DRAUX","M",3,"PS","7","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6374-didier-draux.php"
7380,"Quiévrain","ECOLO",,"Laetitia","DRAUX","F",2,,,,,,,,,,,,,,,,,
7180,"Seneffe","AC+",,"Nicolas","DRAUX","M",11,,,,,,,,,,,,,,,,,
6000,"Charleroi","CA",,"Alan","DRAY","M",9,,,,,,,,,,,,,,,,,
5030,"Gembloux","PS",,"Amandine","DRAYE","F",23,,,,,,,,,,,,,,,,,
1390,"Grez-Doiceau","équipe",,"Benjamin","DRAYE","M",13,,,,,,,,,,,,,,,,,
5030,"Gembloux","PS",,"Carmen","DRAYE","F",17,,,,,,,,,,,,,,,,,
7120,"Estinnes","MR",,"Maxime","DRAYE","M",18,,,,,,,,,,,,,,,,,
4360,"Oreye","ENSEMBLE",,"Anne Françoise","DRAYE-BRENNET","F",10,,,,,,,,,,,,,,,,,
6690,"Vielsalm","BOURGMESTRE",,"Nicolas","DREHSEN","M",9,,,,,,,,,,,,,,,,,
1090,"Jette","PS - sp.a",5,"Eric","Dresin",,15,,,,,,,,,,,,,,,,,
6250,"Aiseau-Presles","PS",,"Anne-Lise","DRESSE","F",8,,,,,,,,,,,,,,,,,
4500,"Huy","idHuy",,"Philippe","DREYE","M",4,,,,,,,,,,,,,,,,,
4000,"Liège","CDH",,"Benoit","DRÈZE","M",10,"cdH","18","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/6369-benoit-dreze.php"
5070,"Fosses-la-Ville","UD",,"Etienne","DRÈZE","M",5,"x","10","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/13003-etienne-dreze.php"
4000,"Liège","MR pour Liège",,"Fabrice","DRÈZE","M",10,"MR","16","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,,"https://www.cumuleo.be/mandataire/6368-fabrice-dreze.php"
6220,"Fleurus","E+",,"Maxime","DRÈZE","M",11,,,,,,,,,,,,,,,,,
7860,"Lessines","DéFI",,"Didier","DRIEN","M",19,,,,,,,,,,,,,,,,,
7860,"Lessines","DéFI",,"Timmy","DRIEN","M",3,,,,,,,,,,,,,,,,,
4800,"Verviers","NOUVEAU V.",,"Florian","DRIES","M",5,,,,,,,,,,,,,,,,,
4607,"Dalhem","DalhemDemain",,"Patricia","DRIESSENS","F",4,,,,,,,,,,,,,,,,,
4100,"Seraing","ECOLO",,"Gianni","DRIGO","M",35,,,,,,,,,,,,,,,,,
7940,"Brugelette","O.C",,"Cassidy","DRION","F",6,,,,,,,,,,,,,,,,,
4430,"Ans","ECOLO",,"Laurence","DRION","F",20,,,,,,,,,,,,,,,,,
1200,"Woluwe-Saint-Lambert","Liste du Bourgmestre",4,"Anne","Drion du Chapois",,14,,,,,,,,,,,,,,,,,
4340,"Awans","LB",,"Charline","DRISKET","F",10,,,,,,,,,,,,,,,,,
6760,"Virton","ENSEMBLE EA",,"Chaymaa","DRISSI","F",16,,,,,,,,,,,,,,,,,
4850,"Plombières","OCP",,"Léon","DROOGHAAG","M",4,,,,,,,,,,,,,,,,,
7618,"Rumes","PS",,"Marie-Line","DROPSY","F",7,,,,,,,,,,,,,,,,,
